"year","road_user","counterparty","Sum(hospitalisations)"
2015,"Bus occupant","Non-collision transport accident",151
2015,"Bus occupant","Other and unspecified transport accidents",23
2015,"Bus occupant","Pedestrian or animal",1
2015,"Bus occupant","Train",10
2015,"Car driver","2- or 3- wheeled motor vehicle",21
2015,"Car driver","Car, pick-up truck or van",6530
2015,"Car driver","Fixed or stationary object",2996
2015,"Car driver","Heavy transport vehicle or bus",547
2015,"Car driver","Non-collision transport accident",1822
2015,"Car driver","Other and unspecified transport accidents",140
2015,"Car driver","Other non-motor vehicle",10
2015,"Car driver","Pedal cycle",4
2015,"Car driver","Pedestrian or animal",86
2015,"Car driver","Train",7
2015,"Car passenger","2- or 3- wheeled motor vehicle",6
2015,"Car passenger","Car, pick-up truck or van",2560
2015,"Car passenger","Fixed or stationary object",1034
2015,"Car passenger","Heavy transport vehicle or bus",197
2015,"Car passenger","Non-collision transport accident",1030
2015,"Car passenger","Other and unspecified transport accidents",80
2015,"Car passenger","Other non-motor vehicle",3
2015,"Car passenger","Pedestrian or animal",42
2015,"Car passenger","Train",6
2015,"Car unknown position","Car, pick-up truck or van",115
2015,"Car unknown position","Fixed or stationary object",49
2015,"Car unknown position","Heavy transport vehicle or bus",8
2015,"Car unknown position","Non-collision transport accident",60
2015,"Car unknown position","Other and unspecified transport accidents",570
2015,"Car unknown position","Pedal cycle",1
2015,"Car unknown position","Pedestrian or animal",9
2015,"Car unknown position","Train",0
2015,"Heavy transport driver","2- or 3- wheeled motor vehicle",1
2015,"Heavy transport driver","Car, pick-up truck or van",67
2015,"Heavy transport driver","Fixed or stationary object",62
2015,"Heavy transport driver","Heavy transport vehicle or bus",57
2015,"Heavy transport driver","Non-collision transport accident",253
2015,"Heavy transport driver","Other and unspecified transport accidents",0
2015,"Heavy transport driver","Other non-motor vehicle",1
2015,"Heavy transport driver","Pedestrian or animal",2
2015,"Heavy transport driver","Train",1
2015,"Heavy transport passenger","Car, pick-up truck or van",11
2015,"Heavy transport passenger","Fixed or stationary object",4
2015,"Heavy transport passenger","Heavy transport vehicle or bus",6
2015,"Heavy transport passenger","Non-collision transport accident",22
2015,"Heavy transport unknown position","Car, pick-up truck or van",0
2015,"Heavy transport unknown position","Fixed or stationary object",0
2015,"Heavy transport unknown position","Heavy transport vehicle or bus",1
2015,"Heavy transport unknown position","Non-collision transport accident",10
