"year","age_group","sex","road_user","Sum(hospitalisations)"
2013,"0-7","Male","Pedestrian",96
2013,"0-7","Male","Pick-up truck or van occupant",1
2013,"17-25","Female","Bus occupant",5
2013,"17-25","Female","Car driver",1264
2013,"17-25","Female","Car passenger",652
2013,"17-25","Female","Car unknown position",92
2013,"17-25","Female","Heavy transport passenger",1
2013,"17-25","Female","Motorcyclist",180
2013,"17-25","Female","Other or unknown",30
2013,"17-25","Female","Pedal cyclist",138
2013,"17-25","Female","Pedestrian",190
2013,"17-25","Female","Pick-up truck or van occupant",11
2013,"17-25","Male","Bus occupant",11
2013,"17-25","Male","Car driver",1492
2013,"17-25","Male","Car passenger",679
2013,"17-25","Male","Car unknown position",94
2013,"17-25","Male","Heavy transport driver",35
2013,"17-25","Male","Heavy transport passenger",5
2013,"17-25","Male","Heavy transport unknown position",1
2013,"17-25","Male","Motorcyclist",1904
2013,"17-25","Male","Other or unknown",68
2013,"17-25","Male","Pedal cyclist",640
2013,"17-25","Male","Pedestrian",305
2013,"17-25","Male","Pick-up truck or van occupant",55
2013,"26-39","Female","Bus occupant",13
2013,"26-39","Female","Car driver",1287
2013,"26-39","Female","Car passenger",480
2013,"26-39","Female","Car unknown position",89
2013,"26-39","Female","Heavy transport driver",1
2013,"26-39","Female","Heavy transport passenger",1
2013,"26-39","Female","Motorcyclist",228
2013,"26-39","Female","Other or unknown",26
2013,"26-39","Female","Pedal cyclist",322
2013,"26-39","Female","Pedestrian",156
2013,"26-39","Female","Pick-up truck or van occupant",7
2013,"26-39","Male","Bus occupant",11
2013,"26-39","Male","Car driver",1543
2013,"26-39","Male","Car passenger",411
2013,"26-39","Male","Car unknown position",119
2013,"26-39","Male","Heavy transport driver",112
2013,"26-39","Male","Heavy transport passenger",4
2013,"26-39","Male","Heavy transport unknown position",4
2013,"26-39","Male","Motorcyclist",2040
2013,"26-39","Male","Other or unknown",80
2013,"26-39","Male","Pedal cyclist",1154
2013,"26-39","Male","Pedestrian",326
2013,"26-39","Male","Pick-up truck or van occupant",57
2013,"26-39","intersex or indeterminate or missing","Motorcyclist",1
2013,"40-64","Female","Bus occupant",33
2013,"40-64","Female","Car driver",1750
2013,"40-64","Female","Car passenger",660
2013,"40-64","Female","Car unknown position",119
2013,"40-64","Female","Heavy transport driver",7
2013,"40-64","Female","Heavy transport passenger",8
2013,"40-64","Female","Motorcyclist",337
2013,"40-64","Female","Other or unknown",61
2013,"40-64","Female","Pedal cyclist",562
2013,"40-64","Female","Pedestrian",288
2013,"40-64","Female","Pick-up truck or van occupant",14
2013,"40-64","Male","Bus occupant",33
2013,"40-64","Male","Car driver",1706
2013,"40-64","Male","Car passenger",311
2013,"40-64","Male","Car unknown position",133
2013,"40-64","Male","Heavy transport driver",240
2013,"40-64","Male","Heavy transport passenger",17
2013,"40-64","Male","Heavy transport unknown position",19
2013,"40-64","Male","Motorcyclist",2542
2013,"40-64","Male","Other or unknown",123
2013,"40-64","Male","Pedal cyclist",1955
2013,"40-64","Male","Pedestrian",368
2013,"40-64","Male","Pick-up truck or van occupant",58
2013,"40-64","intersex or indeterminate or missing","Car driver",1
2013,"65-74","Female","Bus occupant",22
2013,"65-74","Female","Car driver",428
2013,"65-74","Female","Car passenger",262
2013,"65-74","Female","Car unknown position",32
2013,"65-74","Female","Motorcyclist",12
2013,"65-74","Female","Other or unknown",13
2013,"65-74","Female","Pedal cyclist",71
2013,"65-74","Female","Pedestrian",122
2013,"65-74","Male","Bus occupant",16
2013,"65-74","Male","Car driver",461
2013,"65-74","Male","Car passenger",74
2013,"65-74","Male","Car unknown position",21
2013,"65-74","Male","Heavy transport driver",19
2013,"65-74","Male","Heavy transport unknown position",4
2013,"65-74","Male","Motorcyclist",193
2013,"65-74","Male","Other or unknown",24
2013,"65-74","Male","Pedal cyclist",250
2013,"65-74","Male","Pedestrian",122
2013,"65-74","Male","Pick-up truck or van occupant",11
2013,"75+","Female","Bus occupant",54
2013,"75+","Female","Car driver",423
2013,"75+","Female","Car passenger",300
2013,"75+","Female","Car unknown position",46
2013,"75+","Female","Heavy transport unknown position",1
2013,"75+","Female","Motorcyclist",7
2013,"75+","Female","Other or unknown",26
2013,"75+","Female","Pedal cyclist",12
2013,"75+","Female","Pedestrian",189
2013,"75+","Female","Pick-up truck or van occupant",4
2013,"75+","Male","Bus occupant",15
2013,"75+","Male","Car driver",520
2013,"75+","Male","Car passenger",87
2013,"75+","Male","Car unknown position",23
2013,"75+","Male","Heavy transport driver",1
2013,"75+","Male","Motorcyclist",66
2013,"75+","Male","Other or unknown",26
2013,"75+","Male","Pedal cyclist",93
2013,"75+","Male","Pedestrian",162
2013,"75+","Male","Pick-up truck or van occupant",5
2013,"8-16","Female","Bus occupant",3
2013,"8-16","Female","Car driver",24
2013,"8-16","Female","Car passenger",343
2013,"8-16","Female","Car unknown position",18
2013,"8-16","Female","Motorcyclist",56
2013,"8-16","Female","Other or unknown",7
2013,"8-16","Female","Pedal cyclist",155
2013,"8-16","Female","Pedestrian",105
2013,"8-16","Female","Pick-up truck or van occupant",2
2013,"8-16","Male","Bus occupant",3
2013,"8-16","Male","Car driver",39
2013,"8-16","Male","Car passenger",267
2013,"8-16","Male","Car unknown position",20
2013,"8-16","Male","Heavy transport passenger",4
2013,"8-16","Male","Heavy transport unknown position",0
2013,"8-16","Male","Motorcyclist",415
2013,"8-16","Male","Other or unknown",28
2013,"8-16","Male","Pedal cyclist",716
2013,"8-16","Male","Pedestrian",174
2013,"8-16","Male","Pick-up truck or van occupant",4
2014,"0-7","Female","Bus occupant",1
2014,"0-7","Female","Car driver",2
2014,"0-7","Female","Car passenger",143
2014,"0-7","Female","Car unknown position",8
2014,"0-7","Female","Motorcyclist",12
2014,"0-7","Female","Other or unknown",10
2014,"0-7","Female","Pedal cyclist",63
2014,"0-7","Female","Pedestrian",30
2014,"0-7","Female","Pick-up truck or van occupant",1
2014,"0-7","Male","Bus occupant",2
2014,"0-7","Male","Car driver",3
2014,"0-7","Male","Car passenger",152
2014,"0-7","Male","Car unknown position",8
2014,"0-7","Male","Motorcyclist",24
2014,"0-7","Male","Other or unknown",8
2014,"0-7","Male","Pedal cyclist",160
2014,"0-7","Male","Pedestrian",102
2014,"17-25","Female","Bus occupant",17
2014,"17-25","Female","Car driver",1279
2014,"17-25","Female","Car passenger",706
2014,"17-25","Female","Car unknown position",80
2014,"17-25","Female","Heavy transport driver",1
2014,"17-25","Female","Heavy transport passenger",3
2014,"17-25","Female","Heavy transport unknown position",1
2014,"17-25","Female","Motorcyclist",178
2014,"17-25","Female","Other or unknown",29
2014,"17-25","Female","Pedal cyclist",146
2014,"17-25","Female","Pedestrian",188
2014,"17-25","Female","Pick-up truck or van occupant",18
2014,"17-25","Male","Bus occupant",11
2014,"17-25","Male","Car driver",1421
2014,"17-25","Male","Car passenger",611
2014,"17-25","Male","Car unknown position",104
2014,"17-25","Male","Heavy transport driver",27
2014,"17-25","Male","Heavy transport passenger",8
2014,"17-25","Male","Heavy transport unknown position",4
2014,"17-25","Male","Motorcyclist",1926
2014,"17-25","Male","Other or unknown",62
2014,"17-25","Male","Pedal cyclist",617
2014,"17-25","Male","Pedestrian",244
2014,"17-25","Male","Pick-up truck or van occupant",47
2014,"26-39","Female","Bus occupant",17
2014,"26-39","Female","Car driver",1347
2014,"26-39","Female","Car passenger",442
2014,"26-39","Female","Car unknown position",91
2014,"26-39","Female","Heavy transport driver",4
2014,"26-39","Female","Heavy transport passenger",4
2014,"26-39","Female","Heavy transport unknown position",1
2014,"26-39","Female","Motorcyclist",234
2014,"26-39","Female","Other or unknown",28
2014,"26-39","Female","Pedal cyclist",370
2014,"26-39","Female","Pedestrian",174
2014,"26-39","Female","Pick-up truck or van occupant",6
2014,"26-39","Male","Bus occupant",17
2014,"26-39","Male","Car driver",1483
2014,"26-39","Male","Car passenger",380
2014,"26-39","Male","Car unknown position",102
2014,"26-39","Male","Heavy transport driver",83
2014,"26-39","Male","Heavy transport passenger",10
2014,"26-39","Male","Heavy transport unknown position",5
2014,"26-39","Male","Motorcyclist",2179
2014,"26-39","Male","Other or unknown",76
2014,"26-39","Male","Pedal cyclist",1256
2014,"26-39","Male","Pedestrian",302
2014,"26-39","Male","Pick-up truck or van occupant",57
2014,"40-64","Female","Bus occupant",66
2014,"40-64","Female","Car driver",1784
2014,"40-64","Female","Car passenger",635
2014,"40-64","Female","Car unknown position",109
2014,"40-64","Female","Heavy transport driver",5
2014,"40-64","Female","Heavy transport passenger",11
2014,"40-64","Female","Heavy transport unknown position",2
2014,"40-64","Female","Motorcyclist",333
2014,"40-64","Female","Other or unknown",55
2014,"40-64","Female","Pedal cyclist",570
2014,"40-64","Female","Pedestrian",293
2014,"40-64","Female","Pick-up truck or van occupant",11
2014,"40-64","Male","Bus occupant",25
2014,"40-64","Male","Car driver",1812
2014,"40-64","Male","Car passenger",303
2014,"40-64","Male","Car unknown position",98
2014,"40-64","Male","Heavy transport driver",232
2014,"40-64","Male","Heavy transport passenger",10
2014,"40-64","Male","Heavy transport unknown position",25
2014,"40-64","Male","Motorcyclist",2698
2014,"40-64","Male","Other or unknown",138
2014,"40-64","Male","Pedal cyclist",2059
2014,"40-64","Male","Pedestrian",325
2014,"40-64","Male","Pick-up truck or van occupant",67
2014,"65-74","Female","Bus occupant",24
2014,"65-74","Female","Car driver",437
2014,"65-74","Female","Car passenger",276
2014,"65-74","Female","Car unknown position",24
2014,"65-74","Female","Heavy transport passenger",2
2014,"65-74","Female","Heavy transport unknown position",2
2014,"65-74","Female","Motorcyclist",12
2014,"65-74","Female","Other or unknown",10
2014,"65-74","Female","Pedal cyclist",86
2014,"65-74","Female","Pedestrian",164
2014,"65-74","Female","Pick-up truck or van occupant",5
2014,"65-74","Male","Bus occupant",13
2014,"65-74","Male","Car driver",495
2014,"65-74","Male","Car passenger",79
2014,"65-74","Male","Car unknown position",21
2014,"65-74","Male","Heavy transport driver",23
2014,"65-74","Male","Heavy transport passenger",1
2014,"65-74","Male","Heavy transport unknown position",5
2014,"65-74","Male","Motorcyclist",216
2014,"65-74","Male","Other or unknown",23
2014,"65-74","Male","Pedal cyclist",303
2014,"65-74","Male","Pedestrian",117
2014,"65-74","Male","Pick-up truck or van occupant",7
2014,"75+","Female","Bus occupant",63
2014,"75+","Female","Car driver",450
2014,"75+","Female","Car passenger",300
2014,"75+","Female","Car unknown position",34
2014,"75+","Female","Heavy transport passenger",2
2014,"75+","Female","Heavy transport unknown position",1
2014,"75+","Female","Motorcyclist",14
2014,"75+","Female","Other or unknown",22
2014,"75+","Female","Pedal cyclist",15
2014,"75+","Female","Pedestrian",170
2014,"75+","Female","Pick-up truck or van occupant",1
2014,"75+","Male","Bus occupant",12
2014,"75+","Male","Car driver",562
2014,"75+","Male","Car passenger",95
2014,"75+","Male","Car unknown position",24
2014,"75+","Male","Heavy transport driver",2
2014,"75+","Male","Heavy transport passenger",1
2014,"75+","Male","Motorcyclist",57
2014,"75+","Male","Other or unknown",25
2014,"75+","Male","Pedal cyclist",114
2014,"75+","Male","Pedestrian",179
2014,"75+","Male","Pick-up truck or van occupant",4
2014,"8-16","Female","Bus occupant",16
2014,"8-16","Female","Car driver",17
2014,"8-16","Female","Car passenger",288
2014,"8-16","Female","Car unknown position",11
2014,"8-16","Female","Heavy transport unknown position",1
2014,"8-16","Female","Motorcyclist",55
2014,"8-16","Female","Other or unknown",7
2014,"8-16","Female","Pedal cyclist",168
2014,"8-16","Female","Pedestrian",105
2014,"8-16","Female","Pick-up truck or van occupant",4
2014,"8-16","Male","Bus occupant",5
2014,"8-16","Male","Car driver",30
2014,"8-16","Male","Car passenger",215
2014,"8-16","Male","Car unknown position",14
2014,"8-16","Male","Heavy transport passenger",3
2014,"8-16","Male","Heavy transport unknown position",1
2014,"8-16","Male","Motorcyclist",396
2014,"8-16","Male","Other or unknown",14
2014,"8-16","Male","Pedal cyclist",709
2014,"8-16","Male","Pedestrian",161
2014,"8-16","Male","Pick-up truck or van occupant",11
2014,"Missing","Male","Other or unknown",1
2015,"0-7","Female","Car driver",2
2015,"0-7","Female","Car passenger",183
2015,"0-7","Female","Car unknown position",7
2015,"0-7","Female","Heavy transport passenger",1
2015,"0-7","Female","Motorcyclist",12
2015,"0-7","Female","Other or unknown",5
2015,"0-7","Female","Pedal cyclist",65
2015,"0-7","Female","Pedestrian",48
2015,"0-7","Female","Pick-up truck or van occupant",3
2015,"0-7","Male","Car driver",1
2015,"0-7","Male","Car passenger",160
2015,"0-7","Male","Car unknown position",5
2015,"0-7","Male","Heavy transport passenger",1
2015,"0-7","Male","Motorcyclist",25
2015,"0-7","Male","Other or unknown",4
2015,"0-7","Male","Pedal cyclist",155
2015,"0-7","Male","Pedestrian",73
2015,"0-7","Male","Pick-up truck or van occupant",0
2015,"17-25","Female","Bus occupant",6
2015,"17-25","Female","Car driver",1386
2015,"17-25","Female","Car passenger",657
2015,"17-25","Female","Car unknown position",99
2015,"17-25","Female","Heavy transport driver",2
2015,"17-25","Female","Heavy transport passenger",2
2015,"17-25","Female","Motorcyclist",200
2015,"17-25","Female","Other or unknown",39
2015,"17-25","Female","Pedal cyclist",170
2015,"17-25","Female","Pedestrian",200
2015,"17-25","Female","Pick-up truck or van occupant",13
2015,"17-25","Male","Bus occupant",15
2015,"17-25","Male","Car driver",1532
2015,"17-25","Male","Car passenger",639
2015,"17-25","Male","Car unknown position",95
2015,"17-25","Male","Heavy transport driver",25
2015,"17-25","Male","Heavy transport passenger",8
2015,"17-25","Male","Heavy transport unknown position",3
2015,"17-25","Male","Motorcyclist",1864
2015,"17-25","Male","Other or unknown",65
2015,"17-25","Male","Pedal cyclist",578
2015,"17-25","Male","Pedestrian",247
2015,"17-25","Male","Pick-up truck or van occupant",37
2015,"26-39","Female","Bus occupant",13
2015,"26-39","Female","Car driver",1505
2015,"26-39","Female","Car passenger",511
2015,"26-39","Female","Car unknown position",103
2015,"26-39","Female","Heavy transport driver",1
2015,"26-39","Female","Heavy transport passenger",2
2015,"26-39","Female","Heavy transport unknown position",0
2015,"26-39","Female","Motorcyclist",237
2015,"26-39","Female","Other or unknown",38
2015,"26-39","Female","Pedal cyclist",358
2015,"26-39","Female","Pedestrian",186
2015,"26-39","Female","Pick-up truck or van occupant",11
2015,"26-39","Male","Bus occupant",14
2015,"26-39","Male","Car driver",1681
2015,"26-39","Male","Car passenger",393
2015,"26-39","Male","Car unknown position",103
2015,"26-39","Male","Heavy transport driver",117
