Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Road user,Hospitalisations,Bed days excluding died in hospitals within 30 days
2018,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",608,3799
2018,Jul-Dec,Traffic,First Nations people,Motorcyclist,173,762
2018,Jul-Dec,Traffic,First Nations people,Pedal cyclist,100,287
2018,Jul-Dec,Traffic,First Nations people,Pedestrian,113,589
2018,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",12,37
2018,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,7,25
2018,Jul-Dec,Traffic,First Nations people,Bus occupant,6,61
2018,Jul-Dec,Traffic,First Nations people,Other or unknown,17,382
2018,Jul-Dec,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",9354,45945
2018,Jul-Dec,Traffic,Non-Indigenous,Motorcyclist,4060,22538
2018,Jul-Dec,Traffic,Non-Indigenous,Pedal cyclist,3154,9167
2018,Jul-Dec,Traffic,Non-Indigenous,Pedestrian,1175,13639
2018,Jul-Dec,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",259,2253
2018,Jul-Dec,Traffic,Non-Indigenous,Pick-up truck or van occupant,114,1017
2018,Jul-Dec,Traffic,Non-Indigenous,Bus occupant,128,791
2018,Jul-Dec,Traffic,Non-Indigenous,Other or unknown,274,2076
2019,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",477,2115
2019,Jan-Jun,Traffic,First Nations people,Motorcyclist,167,945
2019,Jan-Jun,Traffic,First Nations people,Pedal cyclist,112,370
2019,Jan-Jun,Traffic,First Nations people,Pedestrian,120,796
2019,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2019,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,6,9
2019,Jan-Jun,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2019,Jan-Jun,Traffic,First Nations people,Other or unknown,10,47
2019,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",8895,41859
2019,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,4239,24893
2019,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,3667,11416
2019,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1238,12417
2019,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2019,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,109,745
