calendar year,6-monthly,cause of injury = traffic,counterparty,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2014,Jul-Dec,Traffic,Fixed or stationary object,164,966,SA
2014,Jul-Dec,Traffic,Non-collision transport accident,366,1346,SA
2014,Jul-Dec,Traffic,Other,177,971,SA
2014,Jul-Dec,Traffic,"Car, pick-up truck or van",87,491,Tas
2014,Jul-Dec,Traffic,Fixed or stationary object,47,193,Tas
2014,Jul-Dec,Traffic,Non-collision transport accident,116,451,Tas
2014,Jul-Dec,Traffic,Other,63,197,Tas
2014,Jul-Dec,Traffic,"Car, pick-up truck or van",87,368,ACT
2014,Jul-Dec,Traffic,Fixed or stationary object,28,158,ACT
2014,Jul-Dec,Traffic,Non-collision transport accident,103,295,ACT
2014,Jul-Dec,Traffic,Other,46,185,ACT
2014,Jul-Dec,Traffic,"Car, pick-up truck or van",75,464,NT
2014,Jul-Dec,Traffic,Fixed or stationary object,36,214,NT
2014,Jul-Dec,Traffic,Non-collision transport accident,131,568,NT
2014,Jul-Dec,Traffic,Other,44,209,NT
2015,Jan-Jun,Traffic,"Car, pick-up truck or van",2487,9397,NSW
2015,Jan-Jun,Traffic,Fixed or stationary object,886,4350,NSW
2015,Jan-Jun,Traffic,Non-collision transport accident,1347,4452,NSW
2015,Jan-Jun,Traffic,Other,901,3392,NSW
2015,Jan-Jun,Traffic,"Car, pick-up truck or van",1999,6158,Vic
2015,Jan-Jun,Traffic,Fixed or stationary object,641,2712,Vic
2015,Jan-Jun,Traffic,Non-collision transport accident,1071,3135,Vic
2015,Jan-Jun,Traffic,Other,821,2910,Vic
2015,Jan-Jun,Traffic,"Car, pick-up truck or van",1554,5036,Qld
2015,Jan-Jun,Traffic,Fixed or stationary object,533,2068,Qld
2015,Jan-Jun,Traffic,Non-collision transport accident,1182,3498,Qld
2015,Jan-Jun,Traffic,Other,813,2907,Qld
2015,Jan-Jun,Traffic,"Car, pick-up truck or van",550,2729,WA
2015,Jan-Jun,Traffic,Fixed or stationary object,250,1920,WA
2015,Jan-Jun,Traffic,Non-collision transport accident,480,2357,WA
2015,Jan-Jun,Traffic,Other,307,1438,WA
2015,Jan-Jun,Traffic,"Car, pick-up truck or van",429,2281,SA
2015,Jan-Jun,Traffic,Fixed or stationary object,184,1064,SA
2015,Jan-Jun,Traffic,Non-collision transport accident,356,1099,SA
2015,Jan-Jun,Traffic,Other,211,788,SA
2015,Jan-Jun,Traffic,"Car, pick-up truck or van",101,584,Tas
2015,Jan-Jun,Traffic,Fixed or stationary object,69,269,Tas
2015,Jan-Jun,Traffic,Non-collision transport accident,112,481,Tas
2015,Jan-Jun,Traffic,Other,63,369,Tas
2015,Jan-Jun,Traffic,"Car, pick-up truck or van",105,458,ACT
2015,Jan-Jun,Traffic,Fixed or stationary object,33,265,ACT
2015,Jan-Jun,Traffic,Non-collision transport accident,126,325,ACT
2015,Jan-Jun,Traffic,Other,72,253,ACT
2015,Jan-Jun,Traffic,"Car, pick-up truck or van",93,516,NT
2015,Jan-Jun,Traffic,Fixed or stationary object,30,138,NT
2015,Jan-Jun,Traffic,Non-collision transport accident,162,627,NT
2015,Jan-Jun,Traffic,Other,38,120,NT
2015,Jul-Dec,Traffic,"Car, pick-up truck or van",2518,14760,NSW
2015,Jul-Dec,Traffic,Fixed or stationary object,783,6426,NSW
2015,Jul-Dec,Traffic,Non-collision transport accident,1310,5476,NSW
2015,Jul-Dec,Traffic,Other,852,6078,NSW
2015,Jul-Dec,Traffic,"Car, pick-up truck or van",2251,17681,Vic
2015,Jul-Dec,Traffic,Fixed or stationary object,609,6836,Vic
2015,Jul-Dec,Traffic,Non-collision transport accident,928,4306,Vic
2015,Jul-Dec,Traffic,Other,878,6334,Vic
2015,Jul-Dec,Traffic,"Car, pick-up truck or van",1565,7507,Qld
2015,Jul-Dec,Traffic,Fixed or stationary object,602,4349,Qld
2015,Jul-Dec,Traffic,Non-collision transport accident,1269,4927,Qld
2015,Jul-Dec,Traffic,Other,788,3978,Qld
2015,Jul-Dec,Traffic,"Car, pick-up truck or van",550,3847,WA
2015,Jul-Dec,Traffic,Fixed or stationary object,209,2082,WA
2015,Jul-Dec,Traffic,Non-collision transport accident,493,2454,WA
2015,Jul-Dec,Traffic,Other,344,1618,WA
2015,Jul-Dec,Traffic,"Car, pick-up truck or van",488,2186,SA
2015,Jul-Dec,Traffic,Fixed or stationary object,210,1292,SA
2015,Jul-Dec,Traffic,Non-collision transport accident,390,1438,SA
2015,Jul-Dec,Traffic,Other,199,1019,SA
2015,Jul-Dec,Traffic,"Car, pick-up truck or van",98,554,Tas
2015,Jul-Dec,Traffic,Fixed or stationary object,62,418,Tas
2015,Jul-Dec,Traffic,Non-collision transport accident,108,317,Tas
2015,Jul-Dec,Traffic,Other,64,451,Tas
2015,Jul-Dec,Traffic,"Car, pick-up truck or van",139,570,ACT
2015,Jul-Dec,Traffic,Fixed or stationary object,43,410,ACT
2015,Jul-Dec,Traffic,Non-collision transport accident,107,273,ACT
2015,Jul-Dec,Traffic,Other,75,342,ACT
2015,Jul-Dec,Traffic,"Car, pick-up truck or van",89,671,NT
2015,Jul-Dec,Traffic,Fixed or stationary object,53,164,NT
2015,Jul-Dec,Traffic,Non-collision transport accident,177,1027,NT
2015,Jul-Dec,Traffic,Other,49,198,NT
2016,Jan-Jun,Traffic,"Car, pick-up truck or van",2596,12150,NSW
2016,Jan-Jun,Traffic,Fixed or stationary object,867,6300,NSW
2016,Jan-Jun,Traffic,Non-collision transport accident,1349,6232,NSW
2016,Jan-Jun,Traffic,Other,964,5631,NSW
2016,Jan-Jun,Traffic,"Car, pick-up truck or van",2377,15977,Vic
2016,Jan-Jun,Traffic,Fixed or stationary object,720,5943,Vic
2016,Jan-Jun,Traffic,Non-collision transport accident,1146,5312,Vic
2016,Jan-Jun,Traffic,Other,957,5718,Vic
2016,Jan-Jun,Traffic,"Car, pick-up truck or van",1625,7005,Qld
2016,Jan-Jun,Traffic,Fixed or stationary object,649,4076,Qld
