calendar year,6-monthly,cause of injury = traffic,road user,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2012,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,NT
2012,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,NT
2012,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,NT
2012,Jan-Jun,Traffic,Other or unknown,5,26,NT
2012,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2721,11441,NSW
2012,Jul-Dec,Traffic,Motorcyclist,1382,6714,NSW
2012,Jul-Dec,Traffic,Pedal cyclist,841,2363,NSW
2012,Jul-Dec,Traffic,Pedestrian,497,4510,NSW
2012,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",76,420,NSW
2012,Jul-Dec,Traffic,Pick-up truck or van occupant,47,225,NSW
2012,Jul-Dec,Traffic,Bus occupant,50,267,NSW
2012,Jul-Dec,Traffic,Other or unknown,77,333,NSW
2012,Jul-Dec,Traffic,"Car driver, passenger or unknown position",1694,7095,Vic
2012,Jul-Dec,Traffic,Motorcyclist,621,2779,Vic
2012,Jul-Dec,Traffic,Pedal cyclist,665,1881,Vic
2012,Jul-Dec,Traffic,Pedestrian,307,1776,Vic
2012,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",48,168,Vic
2012,Jul-Dec,Traffic,Pick-up truck or van occupant,35,269,Vic
2012,Jul-Dec,Traffic,Bus occupant,13,47,Vic
2012,Jul-Dec,Traffic,Other or unknown,46,223,Vic
2012,Jul-Dec,Traffic,"Car driver, passenger or unknown position",1713,7435,Qld
2012,Jul-Dec,Traffic,Motorcyclist,960,4660,Qld
2012,Jul-Dec,Traffic,Pedal cyclist,562,1790,Qld
2012,Jul-Dec,Traffic,Pedestrian,217,1347,Qld
2012,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",83,367,Qld
2012,Jul-Dec,Traffic,Pick-up truck or van occupant,30,108,Qld
2012,Jul-Dec,Traffic,Bus occupant,19,65,Qld
2012,Jul-Dec,Traffic,Other or unknown,63,326,Qld
2012,Jul-Dec,Traffic,"Car driver, passenger or unknown position",827,4261,WA
2012,Jul-Dec,Traffic,Motorcyclist,477,2734,WA
2012,Jul-Dec,Traffic,Pedal cyclist,277,758,WA
2012,Jul-Dec,Traffic,Pedestrian,117,904,WA
2012,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",24,168,WA
2012,Jul-Dec,Traffic,Pick-up truck or van occupant,11,27,WA
2012,Jul-Dec,Traffic,Bus occupant,14,61,WA
2012,Jul-Dec,Traffic,Other or unknown,54,166,WA
2012,Jul-Dec,Traffic,"Car driver, passenger or unknown position",592,3357,SA
2012,Jul-Dec,Traffic,Motorcyclist,238,1285,SA
2012,Jul-Dec,Traffic,Pedal cyclist,202,906,SA
2012,Jul-Dec,Traffic,Pedestrian,99,629,SA
2012,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",16,38,SA
2012,Jul-Dec,Traffic,Pick-up truck or van occupant,10,10,SA
2012,Jul-Dec,Traffic,Bus occupant,8,27,SA
2012,Jul-Dec,Traffic,Other or unknown,39,84,SA
2012,Jul-Dec,Traffic,"Car driver, passenger or unknown position",117,651,Tas
2012,Jul-Dec,Traffic,Motorcyclist,60,192,Tas
