calendar year,6-monthly,cause of injury = traffic,age group,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2012,Jul-Dec,Traffic,75+,17,103,Tas
2012,Jul-Dec,Traffic,8-16,21,51,Tas
2012,Jul-Dec,Traffic,0-7,n.p.,n.p.,ACT
2012,Jul-Dec,Traffic,17-25,72,190,ACT
2012,Jul-Dec,Traffic,26-39,66,198,ACT
2012,Jul-Dec,Traffic,40-64,114,437,ACT
2012,Jul-Dec,Traffic,65-74,7,24,ACT
2012,Jul-Dec,Traffic,75+,n.p.,n.p.,ACT
2012,Jul-Dec,Traffic,8-16,10,41,ACT
2012,Jul-Dec,Traffic,0-7,n.p.,n.p.,NT
2012,Jul-Dec,Traffic,17-25,74,400,NT
2012,Jul-Dec,Traffic,26-39,81,577,NT
2012,Jul-Dec,Traffic,40-64,74,458,NT
2012,Jul-Dec,Traffic,65-74,12,102,NT
2012,Jul-Dec,Traffic,75+,n.p.,n.p.,NT
2012,Jul-Dec,Traffic,8-16,30,62,NT
2013,Jan-Jun,Traffic,0-7,106,407,NSW
2013,Jan-Jun,Traffic,17-25,1193,4480,NSW
2013,Jan-Jun,Traffic,26-39,1298,4235,NSW
2013,Jan-Jun,Traffic,40-64,1749,7491,NSW
2013,Jan-Jun,Traffic,65-74,373,2449,NSW
2013,Jan-Jun,Traffic,75+,368,2706,NSW
2013,Jan-Jun,Traffic,8-16,381,1117,NSW
2013,Jan-Jun,Traffic,0-7,61,155,Vic
2013,Jan-Jun,Traffic,17-25,849,2914,Vic
2013,Jan-Jun,Traffic,26-39,938,2998,Vic
2013,Jan-Jun,Traffic,40-64,1325,5415,Vic
2013,Jan-Jun,Traffic,65-74,278,1488,Vic
2013,Jan-Jun,Traffic,75+,286,1848,Vic
2013,Jan-Jun,Traffic,8-16,161,498,Vic
2013,Jan-Jun,Traffic,0-7,88,149,Qld
2013,Jan-Jun,Traffic,17-25,835,2345,Qld
2013,Jan-Jun,Traffic,26-39,843,3279,Qld
2013,Jan-Jun,Traffic,40-64,1245,5207,Qld
2013,Jan-Jun,Traffic,65-74,203,1390,Qld
2013,Jan-Jun,Traffic,75+,172,967,Qld
