"year","state","road_user","Sum(hospitalisations)","Sum(bed_days)"
2018,"NT","Car driver, passenger or unknown position",488,3073
2018,"NT","Motorcyclist",169,1028
2018,"NT","Other or unknown",7,189
2018,"NT","Pedal cyclist",71,244
2018,"NT","Pedestrian",73,584
2018,"NT","Pick-up truck or van occupant",7,9
2018,"QLD","Bus occupant",37,95
2018,"QLD","Car driver, passenger or unknown position",4823,18616
2018,"QLD","Heavy transport driver, passenger or unknown position",163,937
2018,"QLD","Motorcyclist",2320,10780
2018,"QLD","Other or unknown",131,690
2018,"QLD","Pedal cyclist",1408,4045
2018,"QLD","Pedestrian",430,3108
2018,"QLD","Pick-up truck or van occupant",69,568
2018,"SA","Bus occupant",9,86
2018,"SA","Car driver, passenger or unknown position",1190,5760
2018,"SA","Heavy transport driver, passenger or unknown position",20,195
2018,"SA","Motorcyclist",559,3160
2018,"SA","Other or unknown",51,202
2018,"SA","Pedal cyclist",496,1716
2018,"SA","Pedestrian",148,1288
2018,"SA","Pick-up truck or van occupant",8,204
2018,"TAS","Car driver, passenger or unknown position",404,2258
2018,"TAS","Heavy transport driver, passenger or unknown position",8,82
2018,"TAS","Motorcyclist",171,936
2018,"TAS","Other or unknown",15,115
2018,"TAS","Pedal cyclist",109,340
2018,"TAS","Pedestrian",59,765
2018,"TAS","Pick-up truck or van occupant",5,62
2018,"VIC","Bus occupant",73,542
2018,"VIC","Car driver, passenger or unknown position",6099,31404
2018,"VIC","Heavy transport driver, passenger or unknown position",143,633
2018,"VIC","Motorcyclist",1944,14361
2018,"VIC","Other or unknown",150,1449
2018,"VIC","Pedal cyclist",2144,6179
2018,"VIC","Pedestrian",830,8808
2018,"VIC","Pick-up truck or van occupant",70,468
2018,"WA","Bus occupant",12,99
2018,"WA","Car driver, passenger or unknown position",1485,6987
2018,"WA","Heavy transport driver, passenger or unknown position",46,157
2018,"WA","Motorcyclist",788,4155
2018,"WA","Other or unknown",60,298
2018,"WA","Pedal cyclist",665,1678
2018,"WA","Pedestrian",189,1588
2018,"WA","Pick-up truck or van occupant",29,118
2019,"ACT","Car driver, passenger or unknown position",279,1077
2019,"ACT","Motorcyclist",136,908
2019,"ACT","Pedal cyclist",218,664
2019,"ACT","Pedestrian",22,114
2019,"NSW","Bus occupant",97,357
2019,"NSW","Car driver, passenger or unknown position",4397,26054
2019,"NSW","Heavy transport driver, passenger or unknown position",127,1080
2019,"NSW","Motorcyclist",2565,16854
2019,"NSW","Other or unknown",168,2047
2019,"NSW","Pedal cyclist",1678,5724
2019,"NSW","Pedestrian",858,10676
2019,"NSW","Pick-up truck or van occupant",52,206
2019,"NT","Car driver, passenger or unknown position",347,1866
2019,"NT","Motorcyclist",153,780
2019,"NT","Other or unknown",17,214
2019,"NT","Pedal cyclist",84,420
2019,"NT","Pedestrian",38,409
2019,"NT","Pick-up truck or van occupant",7,56
2019,"QLD","Bus occupant",39,146
2019,"QLD","Car driver, passenger or unknown position",4829,17647
2019,"QLD","Heavy transport driver, passenger or unknown position",165,841
2019,"QLD","Motorcyclist",2322,12608
2019,"QLD","Other or unknown",120,641
2019,"QLD","Pedal cyclist",1531,4242
2019,"QLD","Pedestrian",444,3718
2019,"QLD","Pick-up truck or van occupant",65,346
2019,"SA","Bus occupant",14,36
2019,"SA","Car driver, passenger or unknown position",1075,5062
2019,"SA","Heavy transport driver, passenger or unknown position",44,82
2019,"SA","Motorcyclist",562,2306
2019,"SA","Other or unknown",23,155
2019,"SA","Pedal cyclist",526,1563
2019,"SA","Pedestrian",167,1342
2019,"SA","Pick-up truck or van occupant",9,143
2019,"TAS","Car driver, passenger or unknown position",344,1756
2019,"TAS","Heavy transport driver, passenger or unknown position",9,149
2019,"TAS","Motorcyclist",148,1026
2019,"TAS","Other or unknown",11,105
2019,"TAS","Pedal cyclist",121,252
2019,"TAS","Pedestrian",53,508
2019,"VIC","Bus occupant",67,191
